Type	Objet ID	Champ ID	Nom technique	Label actuel (EN)	Label FR (à modifier)	Description	Type de champ	Custom?	Actif?	Système?
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	0e4336a5-f28a-46a1-857d-5dee20af6437	calendarChannels	Calendar Channels		Calendar Channels	RELATION	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	d1213983-a20d-4eed-94af-ce5c0cf6dc86	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	b512759a-ed81-41eb-bbf1-a9dd43cba9ac	connectionParameters	Custom Connection Parameters		JSON object containing custom connection parameters	RAW_JSON	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	2aa36bb4-c916-477c-8cdd-7a2bc4b47cc9	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	8e51f7c1-9119-4cdf-9e13-444f9aabc9d2	handle	handle		The account handle (email, username, phone number, etc.)	TEXT	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	6d3454ea-558d-4c5e-9b66-02e136e069ef	handleAliases	Handle Aliases		Handle Aliases	TEXT	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	3623b1e7-8899-4e42-b20f-f83b062a285a	lastCredentialsRefreshedAt	Last credentials refreshed at		Last credentials refreshed at	DATE_TIME	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	a695cdcf-536b-4e35-aab6-31e906a27492	lastSyncHistoryId	Last sync history ID		Last sync history ID	TEXT	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	bff8e9fe-d666-428b-b32f-3c4b377c717e	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	b350d3ef-a21d-4795-94a1-684ee3ec228c	messageChannels	Message Channels		Message Channels	RELATION	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	2c3667e7-fe58-40e0-80de-5c0b7a28ab05	provider	provider		The account provider	TEXT	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	69084344-bc35-4162-a1b2-7d7ee17cdc84	refreshToken	Refresh Token		Messaging provider refresh token	TEXT	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	9ec0d79d-9b4c-43f9-9e68-df70679b5b40	scopes	Scopes		Scopes	ARRAY	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	cfff2846-70e2-47a1-b735-826078bba72e	id	Id		Id	UUID	Non	Oui	Oui
OBJET	d7c16274-ec3c-495c-ac1f-fb7a680f89f0		person / people	Contact / Contacts	Contact / Contacts	A person		Non	Oui	
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	c77ca92f-b098-4df2-abaa-45d1cc02bfad	city	City	Ville	Contact's city	TEXT	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	570a7468-929f-4acd-bcbc-d0333fcc4716	company	Company	Entreprise	Contact's company	RELATION	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	9feefbf2-65b3-468f-988a-67485c8cb47c	createdBy	Created by	Créé par	The creator of the record	ACTOR	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	29397856-1eab-48ee-a36c-53ba945cf825	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	879320de-71b0-48d5-8ae2-0e756ff63377	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	e3afe88a-7b86-4194-ad73-8253c2b1724b	emails	Emails	E-mails	Contact's Emails	EMAILS	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	89e774a8-e30e-4cef-8a85-e662410f71ec	jobTitle	Job Title	Fonction	Contact's job title	TEXT	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	a9ff9141-f4b2-4c6b-b6ad-1d0956ceaab1	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	3aed0119-134d-4b84-a29b-44fffccaa922	linkedinLink	Linkedin	LinkedIn	Contact's Linkedin account	LINKS	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	023e4400-2cec-4fa9-9e5b-31c27c894c7a	name	Name	Nom	Contact's name	FULL_NAME	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	9bd7e386-16ad-4820-8489-db69cd8fb445	noteTargets	Notes		Notes tied to the contact	RELATION	Non	Oui	Non
